_r,_x,_y,_p,RAJ2000,DEJ2000,errMaj,errMin,errPA,_2MASS,Jmag,Jcmsig,e_Jmag,Jsnr,Hmag,Hcmsig,e_Hmag,Hsnr,Kmag,Kcmsig,e_Kmag,Ksnr,Qflg,Rflg,Bflg,Cflg,Ndet,prox,pxPA,pxCntr,Xflg,Aflg,Cntr,Hemis,Date,Scan,GLON,GLAT,Xscan,_tab1_36,Jpsfchi,Hpsfchi,Kpsfchi,Jstdap,e_Jstdap,Hstdap,e_Hstdap,Kstdap,e_Kstdap,edgeNS,edgeEW,edge,dup,use,opt,Dopt,PAopt,Bmag,Rmag,Nopt,extKey,scanKey,coaddKey,coadd,Opt
0.108961,-0.082827,-0.070797,229.5,257.776179,-39.251743,0.08,0.08,45,17110628-3915062,16.026,,,,12.797,0.031,0.032,55.0,11.610,0.030,0.032,102.9,UAA,022,011,000,006666,6.1,343,672002187,0,0,672002159,s,1999-08-09,11,347.467,0.210,96.2,2451400.4889,,0.55,0.80,,,12.858,0.048,11.651,0.006,9902,157,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.105521,-0.067669,-0.080966,219.9,257.795741,-39.261929,0.11,0.11,45,17111097-3915429,15.300,0.076,0.077,14.7,14.458,,,,13.960,,,,AUU,200,100,000,060000,5.7,311,672001988,0,0,672001970,s,1999-08-09,11,347.468,0.191,41.7,2451400.4889,1.07,,,15.455,0.061,,,,,9865,211,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.104211,-0.075821,-0.071491,226.7,257.785225,-39.252445,0.13,0.11,10,17110845-3915088,15.315,0.088,0.089,14.5,14.547,,,,14.191,,,,AUU,200,100,000,060000,4.9,263,672002138,0,0,672002148,s,1999-08-09,11,347.471,0.203,71.0,2451400.4889,0.51,,,15.471,0.096,,,,,9900,182,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.102962,-0.076079,-0.069378,227.6,257.784896,-39.250332,0.08,0.08,45,17110837-3915011,13.104,,,,13.299,0.095,0.095,34.6,12.630,0.084,0.084,40.2,UAA,022,012,0cc,006655,4.6,3,672002207,0,0,672002185,s,1999-08-09,11,347.472,0.205,71.9,2451400.4889,,1.48,1.22,,,11.629,0.115,11.169,0.106,9907,181,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.100751,-0.059043,-0.081638,215.9,257.806881,-39.262608,0.06,0.06,45,17111365-3915453,14.477,0.043,0.045,31.4,13.182,0.059,0.059,38.6,12.676,0.063,0.064,38.6,AAA,222,111,000,666666,5.5,220,672001936,0,0,672001951,s,1999-08-09,11,347.472,0.184,10.6,2451400.4889,0.85,0.50,0.91,14.541,0.077,13.160,0.048,12.564,0.022,9863,242,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.098253,-0.056475,-0.080400,215.1,257.810199,-39.261372,0.06,0.06,45,17111444-3915409,12.472,0.036,0.038,198.9,11.920,0.047,0.048,123.3,11.680,0.045,0.046,96.5,AAA,222,111,000,666666,5.2,184,672001947,0,0,672001982,s,1999-08-09,11,347.475,0.183,1.4,2451400.4889,2.34,1.26,1.62,12.418,0.021,11.822,0.036,11.614,0.013,9867,252,sw,0,1,U,1.6,8,16.70,14.40,1,,36753,845307,127,Opt
0.101890,-0.067759,-0.076095,221.7,257.795631,-39.257057,0.09,0.09,45,17111095-3915254,15.007,0.062,0.063,19.3,14.119,0.144,0.145,16.3,13.206,,,,ABU,220,110,cc0,466600,6.1,130,672002046,0,0,672002064,s,1999-08-09,11,347.472,0.194,42.0,2451400.4889,0.74,0.83,,14.981,0.115,13.801,0.098,,,9883,211,sw,0,1,U,0.2,138,19.40,17.40,1,,36753,845307,127,Opt
0.114456,-0.082795,-0.079026,226.3,257.776208,-39.259972,0.06,0.06,45,17110628-3915358,13.096,0.023,0.026,112.0,12.096,0.028,0.030,104.8,11.677,0.032,0.033,96.7,AAA,222,111,000,666666,11.2,283,672002024,0,0,672002008,s,1999-08-09,11,347.461,0.205,96.1,2451400.4889,0.80,0.43,0.69,13.151,0.024,12.145,0.039,11.769,0.018,9873,157,sw,0,1,U,0.1,16,20.20,17.20,1,,36753,845307,127,Opt
0.100580,-0.056540,-0.083184,214.2,257.810113,-39.264156,0.06,0.06,45,17111442-3915509,15.018,0.072,0.073,19.1,13.681,0.067,0.068,24.4,13.071,0.067,0.067,26.8,AAA,222,111,cc0,666666,4.9,359,672001947,0,0,672001929,s,1999-08-09,11,347.473,0.181,1.6,2451400.4889,0.86,3.07,2.75,14.494,0.115,13.085,0.038,12.471,0.028,9857,251,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.110144,-0.074861,-0.080794,222.8,257.786453,-39.261749,0.13,0.12,9,17110874-3915422,15.362,0.101,0.102,13.9,13.923,,,,13.523,,,,AUU,200,100,c00,660000,5.8,24,672002002,0,0,672001972,s,1999-08-09,11,347.464,0.197,67.5,2451400.4889,1.29,,,14.772,0.059,,,,,9866,185,sw,0,1,0,,,,,0,,36753,845307,127,Opt
0.092405,-0.055406,-0.073952,216.8,257.811587,-39.254925,0.06,0.06,45,17111478-3915177,14.518,0.028,0.030,30.2,13.273,0.030,0.031,35.5,12.818,0.030,0.032,33.8,AAA,222,111,000,166666,8.0,187,672002062,0,0,672002094,s,1999-08-09,11,347.481,0.186,-2.5,2451400.4889,0.84,0.60,1.38,15.084,0.084,13.515,0.046,13.053,0.066,9891,250,se,0,1,0,,,,,0,,36753,845307,127,Opt
0.110788,-0.083314,-0.073025,228.8,257.775547,-39.253971,0.11,0.11,45,17110613-3915142,15.299,0.078,0.079,14.7,14.474,,,,13.893,,,,AUU,200,100,000,260000,8.2,12,672002159,0,0,672002107,s,1999-08-09,11,347.465,0.209,98.0,2451400.4889,0.99,,,15.191,0.108,,,,,9894,155,sw,0,1,U,0.2,258,19.80,17.70,1,,36753,845307,127,Opt
0.099482,-0.056569,-0.081834,214.7,257.810077,-39.262806,0.06,0.06,45,17111441-3915461,13.702,0.045,0.047,64.1,13.019,0.066,0.067,44.8,12.673,0.069,0.069,38.7,AAA,222,111,cc0,666666,4.9,179,672001929,0,0,672001947,s,1999-08-09,11,347.474,0.182,1.7,2451400.4889,2.39,3.61,3.63,13.251,0.080,12.421,0.062,12.094,0.062,9862,251,sw,0,1,U,3.6,182,16.70,14.40,1,,36753,845307,127,Opt
0.111711,-0.076796,-0.081128,223.4,257.783953,-39.262081,0.06,0.06,45,17110814-3915434,12.576,0.021,0.024,180.7,12.153,0.031,0.032,99.5,11.943,0.041,0.041,75.7,AAA,222,111,000,666666,7.1,80,672001972,0,0,672001968,s,1999-08-09,11,347.462,0.199,74.5,2451400.4889,0.60,1.04,1.47,12.608,0.020,12.110,0.026,11.865,0.017,9865,178,sw,0,1,U,0.1,267,17.20,15.30,1,,36753,845307,127,Opt
0.102262,-0.060023,-0.082794,215.9,257.805614,-39.263763,0.06,0.06,45,17111334-3915495,14.044,0.034,0.036,46.8,13.426,0.044,0.044,30.8,13.226,0.060,0.061,23.2,AAA,222,111,000,664636,5.5,40,672001951,0,0,672001936,s,1999-08-09,11,347.471,0.184,14.1,2451400.4889,0.74,0.48,0.43,14.261,0.058,13.656,0.085,13.387,0.075,9859,239,sw,0,1,U,0.2,178,18.70,16.70,1,,36753,845307,127,Opt
0.111665,-0.074531,-0.083151,221.9,257.786876,-39.264107,0.11,0.11,135,17110885-3915507,13.805,0.051,0.053,58.3,12.410,,,,11.849,,,,AUU,266,200,c00,660000,4.0,262,672001928,0,0,672001931,s,1999-08-09,11,347.462,0.196,66.4,2451400.4889,1.19,,,13.628,0.021,,,,,9858,187,sw,0,1,U,0.8,98,20.10,17.20,2,,36753,845307,127,Opt
